fighter,victoria_%,binning,Height,Weight,SLpM,Str_Acc_%,SApM,Str_Def_%,TD_Avg,TD_Acc_%,TD_Def_%,Sub_Avg,Stance_Orthodox,Stance_Southpaw
Chris Sanford,0,0,180,185,0.23,50,3.22,17,0.0,0,0,3.5,1,0
John Marsh,0,0,182,265,0.83,42,2.23,40,0.43,100,54,0.4,1,0
Travis Wiuff,0,0,190,205,0.48,30,4.03,41,4.84,57,44,1.2,1,0
Koji Oishi,0,0,172,170,1.43,9,17.86,43,0.0,0,0,0.0,1,0
Bill Mahood,0,0,190,200,1.54,85,3.59,17,0.0,0,0,3.9,1,0
Brian Gassaway,0,0,185,170,0.34,26,3.65,44,0.0,0,42,0.0,1,0
Matt Lindland,73,1,182,185,2.62,50,1.56,52,3.01,48,60,1.3,0,1
Tra Telligman,25,0,187,233,1.83,35,3.02,56,0.87,100,80,0.0,1,0
Sean Gannon,0,0,190,265,0.0,0,6.38,28,0.0,0,50,0.0,0,1
Keigo Kunihara,0,0,182,235,0.17,10,1.99,57,4.97,40,100,2.5,1,0
Ron Faircloth,0,0,175,205,0.39,40,8.9,42,0.0,0,0,0.0,1,0
Kerry Schall,0,0,187,265,0.94,11,4.84,63,0.0,0,0,0.0,1,0
Kit Cope,0,0,182,170,1.18,52,2.12,35,0.0,0,50,3.5,1,0
Jeff Newton,0,0,187,205,0.28,20,1.41,52,0.0,0,0,8.5,0,0
Kevin Jordan,0,0,190,245,2.0,40,1.91,55,0.0,0,77,0.6,1,0
Alex Karalexis,50,0,172,155,2.57,42,2.39,54,2.7,45,86,0.9,1,0
Mike Whitehead,0,0,185,205,1.62,33,2.36,59,3.59,43,77,0.3,1,0
Mike van Arsdale,67,1,187,205,1.52,41,1.91,41,1.06,14,37,0.0,0,0
Justin Eilers,33,0,185,235,2.86,43,5.66,49,0.82,25,50,0.0,1,0
Steve Vigneault,0,0,177,185,2.19,28,5.75,44,0.0,0,100,0.0,1,0
Icho Larenas,0,0,190,235,0.17,15,2.5,28,0.0,0,14,0.0,1,0
